Rit;Positie;Renner;Soort
1;1;ALAPHILIPPE Julian;h1
1;2;MATTHEWS Michael;h1
1;3;ROGLIČ Primož;h1
1;4;HAIG Jack;h1
1;5;KELDERMAN Wilco;h1
1;6;POGAČAR Tadej;h1
1;7;GAUDU David;h1
1;8;HIGUITA Sergio;h1
1;9;MOLLEMA Bauke;h1
1;10;THOMAS Geraint;h1
1;11;CHAVES Esteban;h1
1;12;BILBAO Pello;h1
1;13;VINGEGAARD Jonas;h1
1;14;LUTSENKO Alexey;h1
1;15;MAS Enric;h1
1;16;URÁN Rigoberto;h1
1;17;QUINTANA Nairo;h1
1;18;NIBALI Vincenzo;h1
1;19;ASGREEN Kasper;h1
1;20;VAN DER POEL Mathieu;h1
1;21;FUGLSANG Jakob;h1
1;22;CARAPAZ Richard;h1
1;23;ARANBURU Alex;h1
1;24;VAN AERT Wout;h1
1;25;LATOUR Pierre;h1
1;26;BENOOT Tiesj;h1
1;27;TURGIS Anthony;h1
1;28;HAMILTON Lucas;h1
1;29;VAN MOER Brent;h1
1;30;SKUJIŅŠ Toms;h1
1;31;BOIVIN Guillaume;h1
1;32;STUYVEN Jasper;h1
1;33;COLBRELLI Sonny;h1
1;34;VAN POPPEL Boy;h1
1;35;KRAGH ANDERSEN Søren;h1
1;36;GESINK Robert;h1
1;37;GARCÍA CORTINA Iván;h1
1;38;VALGREN Michael;h1
1;39;GOGL Michael;h1
1;40;O'CONNOR Ben;h1
1;41;LÓPEZ Miguel Ángel;h1
1;42;BUCHMANN Emanuel;h1
1;43;HENAO Sergio;h1
1;44;KRUIJSWIJK Steven;h1
1;45;MOHORIČ Matej;h1
1;46;MARTIN Guillaume;h1
1;47;ROLLAND Pierre;h1
1;48;CATTANEO Mattia;h1
1;49;KÜNG Stefan;h1
1;50;LAPORTE Christophe;h1
1;51;DONOVAN Mark;h1
1;52;NIEUWENHUIS Joris;h1
1;53;BISSEGGER Stefan;h1
1;54;EEKHOFF Nils;h1
1;55;DEVENYNS Dries;h1
1;56;GUERREIRO Ruben;h1
1;57;POWLESS Neilson;h1
1;58;NAESEN Oliver;h1
1;59;VAN AVERMAET Greg;h1
1;60;PARET-PEINTRE Aurélien;h1
1;61;MEINTJES Louis;h1
1;62;BARTHE Cyril;h1
1;63;PACHER Quentin;h1
1;64;POELS Wout;h1
1;65;PORTE Richie;h1
1;66;GILBERT Philippe;h1
1;67;DE BOD Stefan;h1
1;68;MEURISSE Xandro;h1
1;69;FORMOLO Davide;h1
1;70;HOULE Hugo;h1
1;71;RICKAERT Jonas;h1
1;72;VAN BAARLE Dylan;h1
1;73;SAGAN Peter;h1
1;74;MEZGEC Luka;h1
1;75;YATES Simon;h1
1;76;GESCHKE Simon;h1
1;77;BAKELANTS Jan;h1
1;78;DELAPLACE Anthony;h1
1;79;ROWE Luke;h1
1;80;KWIATKOWSKI Michał;h1
1;81;SWIFT Connor;h1
1;82;RUTSCH Jonas;h1
1;83;DE GENDT Thomas;h1
1;84;TEUNS Dylan;h1
1;85;PÖSTLBERGER Lukas;h1
1;86;BENNETT Sean;h1
1;87;CORT Magnus;h1
1;88;JUUL-JENSEN Christopher;h1
1;89;LAENGEN Vegard Stake;h1
1;90;ARMIRAIL Bruno;h1
1;91;WALLAYS Jelle;h1
1;92;BALLERINI Davide;h1
1;93;VALVERDE Alejandro;h1
1;94;BARBERO Carlos;h1
1;95;ERVITI Imanol;h1
1;96;COSTA Rui;h1
1;97;MAJKA Rafał;h1
1;98;DLAMINI Nic;h1
1;99;BERNARD Julien;h1
1;100;ELISSONDE Kenny;h1
1;101;PEREZ Anthony;h1
1;102;BOUHANNI Nacer;h1
1;103;PHILIPSEN Jasper;h1
1;104;FERNÁNDEZ Rubén;h1
1;105;BONNAMOUR Franck;h1
